label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1613,33.9,-0.07,9.74,-5.1,-0.35,-339.32,30.8,20.0
vol_velocity,4617,32.9,-0.52,8.67,-5.02,-4.72,-2430.79,27.2,16.1
vol_expansion,16400,32.4,-0.82,9.15,-5.6,-13.25,-13844.95,26.2,15.0
rsi_ignition,4811,31.2,-0.87,8.84,-5.28,-8.22,-4352.1,25.0,13.8
macd_crossover,3887,29.5,-1.03,8.56,-5.05,-9.22,-4011.05,24.3,14.7
trend_strong,38777,29.2,-1.08,8.8,-5.16,-29.9,-42272.91,25.5,15.4
atr_expanding,33217,28.9,-1.11,10.06,-5.65,-25.45,-37025.98,26.8,15.8
rs_acceleration,9258,29.3,-1.12,9.43,-5.5,-14.39,-10577.45,27.6,17.7
stealth_accum,15445,29.8,-1.12,7.09,-4.61,-22.52,-17418.16,20.6,10.9
cmf,33493,29.4,-1.13,8.29,-5.04,-29.72,-38117.4,23.0,13.4
bb_squeeze,28490,28.5,-1.16,8.05,-4.83,-30.67,-33465.46,23.5,13.2
rsi_in_zone,54646,29.3,-1.17,8.4,-5.13,-39.05,-64505.53,23.0,13.1
rsi_divergence,7965,28.9,-1.19,8.93,-5.3,-14.81,-9661.33,25.5,14.8
macd_turning,10265,28.7,-1.21,8.76,-5.22,-17.19,-12525.33,23.3,14.0
declining_sell_vol,38722,28.6,-1.26,8.55,-5.19,-35.33,-49198.59,22.9,13.5
rs_vs_btc,26720,27.0,-1.45,9.42,-5.46,-31.52,-38869.28,24.7,14.7
higher_lows,14940,24.6,-1.81,8.7,-5.24,-33.15,-28046.34,21.8,12.5
