label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1634,34.8,0.04,9.6,-5.06,0.21,-379.56,31.1,20.0
vol_velocity,4702,33.3,-0.46,8.62,-5.0,-4.17,-2259.95,27.5,16.2
vol_expansion,16636,33.0,-0.69,9.14,-5.53,-11.2,-12498.93,26.5,15.1
rsi_ignition,4865,31.8,-0.78,8.78,-5.24,-7.36,-4008.18,24.9,14.0
macd_crossover,3980,29.6,-1.01,8.49,-5.0,-9.15,-4014.35,24.0,14.2
trend_strong,39195,29.7,-1.01,8.72,-5.12,-27.99,-39808.4,25.6,15.2
rs_acceleration,9227,30.1,-1.01,9.33,-5.46,-12.99,-9908.4,28.0,17.8
rsi_divergence,8009,29.9,-1.03,8.86,-5.25,-12.92,-8617.6,25.6,14.9
atr_expanding,32714,29.3,-1.05,10.02,-5.62,-23.78,-34502.12,26.8,15.8
cmf,34054,29.8,-1.05,8.22,-4.99,-28.14,-36355.59,23.1,13.3
rsi_in_zone,55484,29.9,-1.08,8.28,-5.08,-36.47,-60597.6,22.9,12.9
stealth_accum,15866,30.2,-1.08,6.99,-4.56,-22.04,-17143.83,20.4,10.5
bb_squeeze,29025,29.1,-1.09,7.97,-4.81,-29.07,-31925.62,23.5,13.0
macd_turning,10452,29.6,-1.1,8.63,-5.18,-15.73,-11929.15,23.3,13.9
declining_sell_vol,39359,29.1,-1.19,8.45,-5.15,-33.65,-47165.34,22.8,13.2
rs_vs_btc,27129,27.2,-1.39,9.32,-5.4,-30.61,-38011.66,24.5,14.4
higher_lows,15110,24.5,-1.81,8.66,-5.22,-33.54,-28456.08,21.5,12.0
