label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1548,34.0,-0.08,9.71,-5.13,-0.39,-313.5,30.7,20.2
vol_velocity,4509,32.6,-0.53,8.72,-5.01,-4.78,-2640.76,27.2,16.2
vol_expansion,15749,32.5,-0.79,9.22,-5.61,-12.37,-13185.2,26.2,15.1
rsi_ignition,4648,31.4,-0.88,8.75,-5.29,-8.1,-4238.48,24.8,13.6
macd_crossover,3756,29.6,-1.02,8.56,-5.04,-8.97,-3919.77,24.2,14.6
trend_strong,37192,29.4,-1.07,8.75,-5.16,-29.03,-40525.32,25.4,15.3
stealth_accum,14926,30.1,-1.09,7.05,-4.6,-21.45,-16292.6,20.5,10.9
atr_expanding,31830,29.0,-1.12,10.04,-5.67,-25.07,-36837.14,26.6,15.7
cmf,32283,29.6,-1.12,8.26,-5.05,-28.84,-37057.83,22.8,13.4
rsi_in_zone,52769,29.5,-1.16,8.31,-5.13,-38.24,-61717.93,22.9,13.0
rs_acceleration,8920,29.1,-1.16,9.46,-5.52,-14.63,-10776.33,27.5,17.6
bb_squeeze,27338,28.7,-1.16,7.96,-4.84,-30.15,-32294.68,23.2,13.1
macd_turning,9986,29.4,-1.17,8.48,-5.19,-16.49,-11803.41,23.0,13.7
rsi_divergence,7584,29.0,-1.2,8.92,-5.33,-14.57,-9579.42,25.2,14.6
declining_sell_vol,37341,28.8,-1.26,8.45,-5.2,-34.79,-47609.36,22.7,13.3
rs_vs_btc,25637,27.2,-1.42,9.44,-5.48,-30.1,-36780.74,24.6,14.7
higher_lows,14366,24.1,-1.92,8.6,-5.27,-34.93,-27696.78,21.0,12.1
