label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1613,33.9,-0.06,9.74,-5.09,-0.31,-330.39,30.8,20.0
vol_velocity,4615,33.0,-0.49,8.67,-5.02,-4.48,-2477.8,27.3,16.2
vol_expansion,16377,32.5,-0.81,9.13,-5.6,-12.99,-13803.95,26.2,15.0
rsi_ignition,4788,31.3,-0.86,8.86,-5.3,-8.03,-4214.42,25.1,13.9
macd_crossover,3894,29.5,-1.03,8.56,-5.04,-9.19,-4135.28,24.3,14.6
trend_strong,38787,29.3,-1.07,8.78,-5.15,-29.49,-41633.54,25.5,15.4
atr_expanding,33198,29.1,-1.09,10.04,-5.65,-25.04,-37200.77,26.8,15.8
rs_acceleration,9254,29.4,-1.11,9.43,-5.5,-14.27,-10537.23,27.6,17.8
stealth_accum,15449,29.9,-1.11,7.09,-4.6,-22.19,-17105.71,20.6,10.9
cmf,33489,29.5,-1.12,8.27,-5.04,-29.44,-38082.68,23.0,13.4
rsi_divergence,8016,29.2,-1.15,8.87,-5.28,-14.43,-9641.6,25.4,14.6
bb_squeeze,28526,28.6,-1.15,8.04,-4.83,-30.16,-33106.3,23.5,13.2
rsi_in_zone,54690,29.3,-1.16,8.39,-5.12,-38.74,-63644.49,23.0,13.1
macd_turning,10256,28.7,-1.2,8.77,-5.22,-17.05,-12387.69,23.3,14.0
declining_sell_vol,38707,28.6,-1.25,8.56,-5.19,-35.08,-48638.21,23.0,13.5
rs_vs_btc,26692,27.1,-1.44,9.41,-5.47,-31.24,-38391.88,24.7,14.7
higher_lows,14919,24.7,-1.81,8.69,-5.25,-33.01,-26985.69,21.8,12.6
