label,n,win_rate,expectancy,avg_win,avg_loss,sharpe,max_dd,tp1_rate,tp2_rate
whale_candles,1613,34.0,-0.06,9.73,-5.1,-0.32,-354.99,30.8,20.0
vol_velocity,4614,32.9,-0.52,8.66,-5.03,-4.75,-2515.83,27.2,16.1
vol_expansion,16398,32.5,-0.82,9.14,-5.6,-13.15,-13915.49,26.2,15.0
rsi_ignition,4830,31.6,-0.85,8.74,-5.28,-8.08,-4297.7,24.9,13.8
macd_crossover,3887,29.4,-1.03,8.57,-5.04,-9.24,-4102.48,24.3,14.6
trend_strong,38770,29.2,-1.08,8.8,-5.16,-29.87,-42726.1,25.5,15.4
atr_expanding,33194,29.0,-1.1,10.05,-5.65,-25.34,-37325.12,26.7,15.8
rs_acceleration,9255,29.3,-1.12,9.43,-5.5,-14.38,-10584.51,27.6,17.7
stealth_accum,15456,29.9,-1.12,7.06,-4.61,-22.46,-17826.58,20.5,10.9
cmf,33486,29.4,-1.13,8.29,-5.04,-29.68,-39012.61,23.0,13.4
bb_squeeze,28454,28.5,-1.16,8.05,-4.84,-30.6,-33731.52,23.4,13.2
rsi_in_zone,54652,29.3,-1.17,8.38,-5.13,-38.92,-65517.51,22.9,13.1
rsi_divergence,7934,29.0,-1.18,8.93,-5.3,-14.61,-9541.14,25.4,14.7
macd_turning,10285,28.8,-1.21,8.73,-5.22,-17.17,-12751.62,23.3,13.9
declining_sell_vol,38755,28.7,-1.26,8.52,-5.19,-35.26,-49724.37,22.9,13.4
rs_vs_btc,26732,27.0,-1.45,9.39,-5.46,-31.45,-39596.97,24.7,14.7
higher_lows,14945,24.7,-1.81,8.68,-5.24,-33.08,-28223.15,21.8,12.5
