,close,high,low
2025-12-11 08:00:00,11.64,11.73,11.64
2025-12-11 12:00:00,11.77,11.79,11.65
2025-12-11 16:00:00,11.98,12.13,11.74
2025-12-11 20:00:00,11.82,12.03,11.82
2025-12-12 00:00:00,11.69,11.95,11.69
2025-12-12 04:00:00,11.78,11.79,11.71
2025-12-12 08:00:00,11.67,11.79,11.64
2025-12-12 12:00:00,11.61,11.76,11.57
2025-12-12 16:00:00,11.7,11.73,11.59
2025-12-12 20:00:00,11.49,11.68,11.43
2025-12-13 00:00:00,11.42,11.5,11.41
2025-12-13 04:00:00,11.38,11.41,11.34
2025-12-13 08:00:00,11.45,11.45,11.33
2025-12-13 12:00:00,11.46,11.52,11.39
2025-12-13 16:00:00,11.59,11.77,11.44
2025-12-13 20:00:00,11.52,11.75,11.51
2025-12-14 00:00:00,11.43,11.56,11.29
2025-12-14 04:00:00,11.22,11.42,11.22
2025-12-14 08:00:00,11.17,11.24,11.16
2025-12-14 12:00:00,11.35,11.35,11.15
2025-12-14 16:00:00,11.23,11.3,11.08
2025-12-14 20:00:00,11.37,11.44,11.22
2025-12-15 00:00:00,11.26,11.38,11.25
2025-12-15 04:00:00,11.2,11.41,11.19
2025-12-15 08:00:00,10.99,11.2,10.96
2025-12-15 12:00:00,10.88,10.98,10.88
2025-12-15 16:00:00,11.02,11.04,10.85
2025-12-15 20:00:00,10.59,11.03,10.39
2025-12-16 00:00:00,10.45,10.5,10.37
2025-12-16 04:00:00,10.37,10.48,10.33
2025-12-16 08:00:00,10.37,10.39,10.32
2025-12-16 12:00:00,10.35,10.43,10.35
2025-12-16 16:00:00,10.29,10.35,10.29
2025-12-16 20:00:00,10.22,10.4,10.18
2025-12-17 00:00:00,10.16,10.22,10.14
2025-12-17 04:00:00,10.14,10.17,10.14
2025-12-17 08:00:00,10.22,10.23,10.11
2025-12-17 12:00:00,10.26,10.26,10.18
2025-12-17 16:00:00,10.31,10.34,10.21
2025-12-17 20:00:00,10.13,10.31,10.13
2025-12-18 00:00:00,9.96,10.17,9.94
2025-12-18 04:00:00,9.89,9.98,9.85
2025-12-18 08:00:00,9.63,9.89,9.59
2025-12-18 12:00:00,9.48,9.64,9.48
2025-12-18 16:00:00,9.01,9.46,8.97
2025-12-18 20:00:00,9.59,9.59,9.17
2025-12-19 00:00:00,9.68,9.83,9.59
2025-12-19 04:00:00,9.26,9.64,9.26
2025-12-19 08:00:00,8.86,9.22,8.86
2025-12-19 12:00:00,9.06,9.06,8.78
2025-12-19 16:00:00,9.04,9.14,8.93
2025-12-19 20:00:00,9.01,9.08,8.94
2025-12-20 00:00:00,8.71,8.99,8.69
2025-12-20 04:00:00,8.65,8.75,8.61
2025-12-20 08:00:00,8.71,8.73,8.59
2025-12-20 12:00:00,8.75,8.84,8.7
2025-12-20 16:00:00,8.63,8.76,8.61
2025-12-20 20:00:00,8.59,8.66,8.59
2025-12-21 00:00:00,8.63,8.63,8.55
2025-12-21 04:00:00,8.64,8.67,8.55
2025-12-21 08:00:00,8.74,8.74,8.63
2025-12-21 12:00:00,8.83,8.86,8.74
2025-12-21 16:00:00,8.7,8.83,8.69
2025-12-21 20:00:00,8.64,8.67,8.62
2025-12-22 00:00:00,8.59,8.66,8.59
2025-12-22 04:00:00,8.6,8.61,8.54
2025-12-22 08:00:00,8.67,8.73,8.6
2025-12-22 12:00:00,8.58,8.75,8.58
2025-12-22 16:00:00,8.42,8.53,8.35
2025-12-22 20:00:00,8.35,8.49,8.3
2025-12-23 00:00:00,8.4,8.42,8.33
2025-12-23 04:00:00,8.4,8.46,8.39
2025-12-23 08:00:00,8.11,8.41,8.11
2025-12-23 12:00:00,8.31,8.31,8.1
2025-12-23 16:00:00,8.3,8.36,8.3
2025-12-23 20:00:00,8.36,8.45,8.3
2025-12-24 00:00:00,8.39,8.4,8.32
2025-12-24 04:00:00,8.35,8.41,8.31
2025-12-24 08:00:00,8.28,8.34,8.28
2025-12-24 12:00:00,8.2,8.29,8.15
2025-12-24 16:00:00,8.24,8.24,8.13
2025-12-24 20:00:00,8.19,8.24,8.17
2025-12-25 00:00:00,8.24,8.25,8.16
2025-12-25 04:00:00,8.28,8.3,8.23
2025-12-25 08:00:00,8.27,8.29,8.24
2025-12-25 12:00:00,8.33,8.38,8.26
2025-12-25 16:00:00,8.37,8.39,8.33
2025-12-25 20:00:00,8.45,8.45,8.37
2025-12-26 00:00:00,8.57,8.65,8.41
2025-12-26 04:00:00,8.91,9.03,8.57
2025-12-26 08:00:00,8.97,8.97,8.89
2025-12-26 12:00:00,9.15,9.28,8.99
2025-12-26 16:00:00,9.03,9.29,9.03
2025-12-26 20:00:00,9.04,9.08,9.02
2025-12-27 00:00:00,9.01,9.05,9.01
2025-12-27 04:00:00,9.13,9.14,9.01
2025-12-27 08:00:00,9.34,9.34,9.13
2025-12-27 12:00:00,9.55,9.55,9.34
2025-12-27 16:00:00,9.87,9.88,9.58
2025-12-27 20:00:00,10.07,10.11,9.87
2025-12-28 00:00:00,10.12,10.18,10.0
2025-12-28 04:00:00,10.04,10.3,10.04
2025-12-28 08:00:00,10.31,10.56,10.0
2025-12-28 12:00:00,10.44,10.52,10.25
2025-12-28 16:00:00,10.62,10.76,10.45
2025-12-28 20:00:00,10.24,10.66,10.22
2025-12-29 00:00:00,10.09,10.23,9.96
2025-12-29 04:00:00,10.49,10.49,10.09
2025-12-29 08:00:00,10.69,10.69,10.43
2025-12-29 12:00:00,10.76,10.78,10.66
2025-12-29 16:00:00,10.44,10.76,10.44
2025-12-29 20:00:00,10.28,10.47,10.26
2025-12-30 00:00:00,10.26,10.31,10.26
2025-12-30 04:00:00,10.22,10.27,10.2
2025-12-30 08:00:00,10.17,10.22,10.17
2025-12-30 12:00:00,10.14,10.17,10.12
2025-12-30 16:00:00,9.99,10.15,9.97
2025-12-30 20:00:00,9.84,9.98,9.83
2025-12-31 00:00:00,9.88,9.88,9.81
2025-12-31 04:00:00,9.83,9.92,9.82
2025-12-31 08:00:00,9.81,9.85,9.79
2025-12-31 12:00:00,9.77,9.83,9.76
2025-12-31 16:00:00,9.76,9.82,9.76
2025-12-31 20:00:00,9.47,9.76,9.47
2026-01-01 00:00:00,9.36,9.46,9.36
2026-01-01 04:00:00,9.35,9.42,9.35
2026-01-01 08:00:00,9.35,9.36,9.34
2026-01-01 12:00:00,9.33,9.38,9.33
2026-01-01 16:00:00,9.34,9.35,9.29
2026-01-01 20:00:00,9.28,9.38,9.26
2026-01-02 00:00:00,9.22,9.27,9.22
2026-01-02 04:00:00,9.15,9.24,9.11
2026-01-02 08:00:00,9.14,9.18,9.12
2026-01-02 12:00:00,9.2,9.28,9.12
2026-01-02 16:00:00,9.37,9.42,9.16
2026-01-02 20:00:00,9.4,9.5,9.33
2026-01-03 00:00:00,9.32,9.4,9.31
2026-01-03 04:00:00,9.51,9.52,9.32
2026-01-03 08:00:00,9.47,9.52,9.47
